Section,Title,Text
1,"Short title, extent and commencement.","Section 1 of the Bharatiya Nyaya Sanhita (BNS), 2023, deals with the short title, commencement, and application of the Act.This Act consolidates and amends the provisions related to offences, along with matters connected to or arising from them. In the seventy-fourth year of the Republic of India, the Parliament passed the following Act: 1. This Act may be called the Bharatiya Nyaya Sanhita, 2023. 2. It shall come into force on such date as the Central Government may, by notification"
1,"Short title, extent and commencement.","in the Official Gazette, appoint, and different dates may be appointed for different provisions of the Sanhita. 3. Every person shall be liable to punishment under this Sanhita and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India. 4. Any person liable, by any law for the time being in force in India, to be tried for an offence committed beyond India shall be dealt with accordin to the"
1,"Short title, extent and commencement.","provisions of this Sanhita for any act committed beyond India in the same manner as if such act had been committed within India. 5. The provisions of this Sanhita apply also to any offence committed by a. any c itizen of India in any place without and beyond India; b . any person on any ship or aircraft registered in India, wherever it may be; c. any person in any place without and beyond India committing offence targeting a computer"
1,"Short title, extent and commencement.","resource located in India. Explanation: In BNS Section 1, the word offence  includes every act committed outside India which, if committed in India, would be punishable under this Sanhita. Illustrations: A, who is a citizen of India, commits a murder in any place without and beyond India, he can be tried and convicted of murder in any place in India in which he may be found. 6. Nothing in this Sanhita shall affect the provisions of any Act for"
1,"Short title, extent and commencement.","punishing mutiny and desertion of officers, soldiers, sailors, or airmen in the service of the Government of India or the provisions of any special or local law."
2,Definitions.,"Section 2 of the Bharatiya Nyaya Sanhita (BNS), 2023, defines key terms used throughout the act, ensuring clarity and consistency in its application. In this Sanhita unless the context otherwise requires, (1) act as well a series of acts as a single act; (2) animal means any living creature, other than a human being; (3) counterfeit.A person is said to counterfeit who causes one thing to resemble another thing, intending by means of that resemblance to practice deception, or knowing"
2,Definitions.,"it to be likely that deception will thereby be proctised. Explanation 1: It is not essential to counterfeiting that the imitation should be exact. Explanation 2: When a person causes one thing to resemble another thing, and the resemblance is such that a person might be deceived thereby, it shall be presumed, until the contrary is proved, that the person so causing the one thing to resemble the other thing intended by means of that resemblance to practise deception or"
2,Definitions.,"knew it to be likely that deception would thereby be practised; (4) Court means a Judge who is empowered by law to act judicially alone, or a body of Judges, which is empowered by law to act judicially as a body, when such Judge or body of Judges is acting judicially; (5) death means the death of a human being unless the contrary appears from the context; (6) dishonestly means doing of an act with the intention of causing wrongful"
2,Definitions.,"gain to one person or wrongful loss to another person; (7) document means any matter expressed or described upon any substance by means of letters, figures or marks, or by more than one of those means, intended to be used, or which may be used, as evidence of that matter. Explanation 1: It is immaterial by what means or upon what substance the letters, figures or marks are formed, or whether the evidence is intended for, or may be used"
2,Definitions.,"in a Court or not. Illustrations: (a) A writing expressing the terms of a contract, which may be used as evidence of the contract, is a document. (b) A cheque upon a banker is a document. (c) A power-of-attorney is a document. (d) A Map or plan which is intended to be used or which may be used as evidence, is a document. (e) A writing containing directions or instructions is a document. Explanation 2: Whatever is expressed by means"
